Date,Extension,Number of Files Created,File Size in B,File Size in KB,File Size in MB,File Type,File Format,,,,,
10/7/2009,.xls,2,85504,85.504,0.086,Spreadsheet or Database,Microsoft Excel 97 Workbook (xls),,,,,
10/7/2009,.pdf,2,446404,446.404,0.446,PDF,Portable Document Format (PDF),,,,,
10/8/2009,.CATPart,4,13917229,13917.229,13.917,CAD File (2d or 3d),CATIA V5 Part file,,,,,
10/8/2009,.log,3,3886,3.886,0.004,Text Document,Log File,,,,,
10/8/2009,.pdf,5,2297421,2297.421,2.297,PDF,Portable Document Format (PDF),,,,,
10/8/2009,.stp,4,877639,877.639,0.878,CAD File (2d or 3d),Standard for the Exchange of Product model data,,,,,
10/8/2009,.TIF,1,15043836,15043.836,15.044,Image,Tagged Image File Format,,,,,
10/9/2009,.CATPart,1,630267,630.267,0.63,CAD File (2d or 3d),CATIA V5 Part file,,,,,
10/9/2009,.xls,3,117760,117.76,0.118,Spreadsheet or Database,Microsoft Excel 97 Workbook (xls),,,,,
10/9/2009,.dgn,1,122368,122.368,0.122,CAD File (2d or 3d),Microstation Design File,,,,,
10/9/2009,.pdf,2,4101835,4101.835,4.102,PDF,Portable Document Format (PDF),,,,,
10/9/2009,.3dm,2,48072768,48072.768,48.073,CAD File (2d or 3d),Rhinoceros 3D File,,,,,
10/11/2009,.dgn,1,127488,127.488,0.127,CAD File (2d or 3d),Microstation Design File,,,,,
10/12/2009,.CATPart,10,56800387,56800.387,56.8,CAD File (2d or 3d),CATIA V5 Part file,,,,,
10/12/2009,.log,2,200130,200.13,0.2,Text Document,Log File,,,,,
10/12/2009,.dgn,1,391168,391.168,0.391,CAD File (2d or 3d),Microstation Design File,,,,,
10/12/2009,.pdf,3,152905,152.905,0.153,PDF,Portable Document Format (PDF),,,,,
10/12/2009,.stp,2,28649041,28649.041,28.649,CAD File (2d or 3d),Standard for the Exchange of Product model data,,,,,
10/13/2009,.CATProduct,1,28395,28.395,0.028,CAD File (2d or 3d),CATIA V5 Assembly file,,,,,
10/13/2009,.xls,3,196608,196.608,0.197,Spreadsheet or Database,Microsoft Excel 97 Workbook (xls),,,,,
10/13/2009,.docx,2,31470,31.47,0.031,Text Document,Microsoft Word for Windows,,,,,
10/13/2009,.dgn,17,10125824,10125.824,10.126,CAD File (2d or 3d),Microstation Design File,,,,,
10/13/2009,.pdf,18,9227760,9227.76,9.228,PDF,Portable Document Format (PDF),,,,,
10/14/2009,.CATPart,1,660029,660.029,0.66,CAD File (2d or 3d),CATIA V5 Part file,,,,,
10/14/2009,.xlsx,1,9637,9.637,0.01,Spreadsheet or Database,Microsoft Excel for Windows,,,,,
10/14/2009,.mpp,1,839680,839.68,0.84,Spreadsheet or Database,Microsoft Project,,,,,
10/14/2009,.dgn,3,4364288,4364.288,4.364,CAD File (2d or 3d),Microstation Design File,,,,,
10/14/2009,.pdf,3,99526,99.526,0.1,PDF,Portable Document Format (PDF),,,,,
10/15/2009,.fmp,3,882,0.882,0.001,CAD File (2d or 3d),AutoCAD Font Mapping Table,,,,,
10/15/2009,.CATPart,1,107277,107.277,0.107,CAD File (2d or 3d),CATIA V5 Part file,,,,,
10/15/2009,.pdf,2,1838653,1838.653,1.839,PDF,Portable Document Format (PDF),,,,,
10/16/2009,.CATProduct,1,26033,26.033,0.026,CAD File (2d or 3d),CATIA V5 Assembly file,,,,,
10/16/2009,.CATPart,8,36683164,36683.164,36.683,CAD File (2d or 3d),CATIA V5 Part file,,,,,
10/16/2009,.log,3,132082,132.082,0.132,Text Document,Log File,,,,,
10/16/2009,.xls,2,68096,68.096,0.068,Spreadsheet or Database,Microsoft Excel 97 Workbook (xls),,,,,
10/16/2009,.pdf,1,49697,49.697,0.05,PDF,Portable Document Format (PDF),,,,,
10/16/2009,.stp,3,17125084,17125.084,17.125,CAD File (2d or 3d),Standard for the Exchange of Product model data,,,,,
10/17/2009,.dgn,5,665088,665.088,0.665,CAD File (2d or 3d),Microstation Design File,,,,,
10/19/2009,.log,4,2319,2.319,0.002,Text Document,Log File,,,,,
10/19/2009,.dgn,3,161280,161.28,0.161,CAD File (2d or 3d),Microstation Design File,,,,,
10/19/2009,.pdf,3,525524,525.524,0.526,PDF,Portable Document Format (PDF),,,,,
10/19/2009,.stp,4,348368,348.368,0.348,CAD File (2d or 3d),Standard for the Exchange of Product model data,,,,,
10/20/2009,.CATProduct,1,19469,19.469,0.019,CAD File (2d or 3d),CATIA V5 Assembly file,,,,,
10/20/2009,.CATPart,2,3101689,3101.689,3.102,CAD File (2d or 3d),CATIA V5 Part file,,,,,
10/20/2009,.mat,1,170,0.17,0,CAD File (2d or 3d),Microstation Material file,,,,,
10/21/2009,.CATPart,2,821338,821.338,0.821,CAD File (2d or 3d),CATIA V5 Part file,,,,,
10/21/2009,.pdf,1,11155,11.155,0.011,PDF,Portable Document Format (PDF),,,,,
10/22/2009,.dwg,3,2885283,2885.283,2.885,CAD File (2d or 3d),AutoCAD Drawing,,,,,
10/22/2009,.CATPart,1,287711,287.711,0.288,CAD File (2d or 3d),CATIA V5 Part file,,,,,
10/22/2009,.pdf,1,29660,29.66,0.03,PDF,Portable Document Format (PDF),,,,,
10/23/2009,.dll,1,307200,307.2,0.307,Text Document,Dynamic Link Library,,,,,
10/23/2009,.exe,1,5304832,5304.832,5.305,CAD File (2d or 3d),Executable File (Unity),,,,,
10/26/2009,.CATPart,7,8895186,8895.186,8.895,CAD File (2d or 3d),CATIA V5 Part file,,,,,
10/26/2009,.log,1,587,0.587,0.001,Text Document,Log File,,,,,
10/26/2009,.stp,1,253658,253.658,0.254,CAD File (2d or 3d),Standard for the Exchange of Product model data,,,,,
10/27/2009,.CATPart,1,3156154,3156.154,3.156,CAD File (2d or 3d),CATIA V5 Part file,,,,,
10/27/2009,.log,3,1815,1.815,0.002,Text Document,Log File,,,,,
10/27/2009,.dgn,1,73728,73.728,0.074,CAD File (2d or 3d),Microstation Design File,,,,,
10/27/2009,.mvba,1,9216,9.216,0.009,CAD File (2d or 3d),MicroStation VBA Project,,,,,
10/27/2009,.stp,4,1954435,1954.435,1.954,CAD File (2d or 3d),Standard for the Exchange of Product model data,,,,,
10/28/2009,.sfo,1,2724,2.724,0.003,Program or System File,Bitstream font file,,,,,
10/28/2009,.CATPart,1,11517429,11517.429,11.517,CAD File (2d or 3d),CATIA V5 Part file,,,,,
10/28/2009,.log,1,611,0.611,0.001,Text Document,Log File,,,,,
10/28/2009,.xls,1,23040,23.04,0.023,Spreadsheet or Database,Microsoft Excel 97 Workbook (xls),,,,,
10/28/2009,.doc,1,55296,55.296,0.055,Text Document,Microsoft Word Document,,,,,
10/28/2009,.pdf,2,7766545,7766.545,7.767,PDF,Portable Document Format (PDF),,,,,
10/28/2009,.stp,1,11326808,11326.808,11.327,CAD File (2d or 3d),Standard for the Exchange of Product model data,,,,,
10/29/2009,.dwg,25,8537312,8537.312,8.537,CAD File (2d or 3d),AutoCAD Drawing,,,,,
10/29/2009,.CATPart,3,456441,456.441,0.456,CAD File (2d or 3d),CATIA V5 Part file,,,,,
10/29/2009,.bcnv,1,52771,52.771,0.053,CAD File (2d or 3d),MicroStation V8 Batch Conversion File,,,,,
10/30/2009,.pdf,4,37069761,37069.761,37.07,PDF,Portable Document Format (PDF),,,,,
11/1/2009,.dgn,10,1274880,1274.88,1.275,CAD File (2d or 3d),Microstation Design File,,,,,
11/2/2009,.CATProduct,1,44090,44.09,0.044,CAD File (2d or 3d),CATIA V5 Assembly file,,,,,
11/2/2009,.CATPart,9,11381845,11381.845,11.382,CAD File (2d or 3d),CATIA V5 Part file,,,,,
11/2/2009,.xls,1,70144,70.144,0.07,Spreadsheet or Database,Microsoft Excel 97 Workbook (xls),,,,,
11/2/2009,.dgn,10,1070080,1070.08,1.07,CAD File (2d or 3d),Microstation Design File,,,,,
11/2/2009,.pdf,1,93860,93.86,0.094,PDF,Portable Document Format (PDF),,,,,
11/2/2009,.stp,1,2212051,2212.051,2.212,CAD File (2d or 3d),Standard for the Exchange of Product model data,,,,,
11/3/2009,.gct,1,11193,11.193,0.011,CAD File (2d or 3d),Bentley V8 GenerativeComponents File,,,,,
11/3/2009,.CATPart,2,19340635,19340.635,19.341,CAD File (2d or 3d),CATIA V5 Part file,,,,,
11/3/2009,.log,2,1273,1.273,0.001,Text Document,Log File,,,,,
11/3/2009,.stp,2,14496198,14496.198,14.496,CAD File (2d or 3d),Standard for the Exchange of Product model data,,,,,
11/4/2009,.dwg,1,1224802,1224.802,1.225,CAD File (2d or 3d),AutoCAD Drawing,,,,,
11/4/2009,.pdf,1,168443,168.443,0.168,PDF,Portable Document Format (PDF),,,,,
11/4/2009,.stp,1,4706136,4706.136,4.706,CAD File (2d or 3d),Standard for the Exchange of Product model data,,,,,
11/5/2009,.CATPart,3,4387466,4387.466,4.387,CAD File (2d or 3d),CATIA V5 Part file,,,,,
11/6/2009,.sat,2,796249,796.249,0.796,Program or System File,ACIS Standard ACIS Text File,,,,,
11/6/2009,.shx,1,8489,8.489,0.008,CAD File (2d or 3d),AutoCAD Compiled Shape/Font File,,,,,
11/6/2009,.dwg,3,91910,91.91,0.092,CAD File (2d or 3d),AutoCAD Drawing,,,,,
11/6/2009,.rar,1,277149,277.149,0.277,Packaged Files,RAR Archive,,,,,
11/6/2009,.stp,9,1126096,1126.096,1.126,CAD File (2d or 3d),Standard for the Exchange of Product model data,,,,,
11/6/2009,.3dm,3,429638,429.638,0.43,CAD File (2d or 3d),Rhinoceros 3D File,,,,,
11/8/2009,.pdf,1,2342297,2342.297,2.342,PDF,Portable Document Format (PDF),,,,,
11/9/2009,.dwg,4,308903,308.903,0.309,CAD File (2d or 3d),AutoCAD Drawing,,,,,
11/9/2009,.CATPart,1,4044297,4044.297,4.044,CAD File (2d or 3d),CATIA V5 Part file,,,,,
11/9/2009,.log,4,2458,2.458,0.002,Text Document,Log File,,,,,
11/9/2009,.dgn,3,365568,365.568,0.366,CAD File (2d or 3d),Microstation Design File,,,,,
11/9/2009,.pdf,7,3626872,3626.872,3.627,PDF,Portable Document Format (PDF),,,,,
11/10/2009,.dwg,1,222328,222.328,0.222,CAD File (2d or 3d),AutoCAD Drawing,,,,,
11/10/2009,.CATPart,2,226150,226.15,0.226,CAD File (2d or 3d),CATIA V5 Part file,,,,,
11/10/2009,.log,8,4656,4.656,0.005,Text Document,Log File,,,,,
11/10/2009,.pdf,1,332890,332.89,0.333,PDF,Portable Document Format (PDF),,,,,
11/10/2009,.stp,8,737621,737.621,0.738,CAD File (2d or 3d),Standard for the Exchange of Product model data,,,,,
11/11/2009,.CATProduct,1,65715,65.715,0.066,CAD File (2d or 3d),CATIA V5 Assembly file,,,,,
